flight,min_distance_m
1,3.1425264313434202
2,1.8297445217715327
3,0.6592219297932936
4,8.15843509715467
5,9.13700674780231
6,15.709423761161256
7,7.410223810603943
8,7.825589991059507
9,4.918452053377969
10,7.219429867840749
11,15.878300805782228
12,11.729721411734793
13,6.318774846503245
14,5.487247419315249
15,2.2704457458253633
16,7.539498863824785
17,4.643699375868578
18,15.687383070021337
19,17.309042531572835
20,10.07331317474727
21,8.234132132547083
22,17.39150239776275
23,16.374554072426434
24,7.1733325749723615
25,5.028324878789056
26,15.286735103280176
27,14.675360748056066
28,10.548770238365327
29,16.222323454861606
30,13.384421142533098
31,21.743081784694425
32,12.47446759709939
33,11.468948660603745
34,17.679708399142804
35,15.005289980014512
36,14.830244284719273
37,11.127249723230834
38,12.036622183584008
39,13.061732399818691
40,14.530820522357656
41,13.114720045536933
42,13.551820868290989
43,9.23321251400736
44,4.820782536874704
45,11.633737052291103
46,11.077645641449843
47,13.992478365864487
48,16.960944334132474
49,9.881184321053329
50,13.25657814380958
