,x,y,z,drone,timestamp
0,-0.6321017742156982,0.6903709173202515,-32.68488693237305,hunter,1766456624274795891
1,-48.86748123168945,-1.5462322235107422,-29.5018310546875,target,1766456624274795891
2,-0.6321017742156982,0.6903709173202515,-32.68790817260742,hunter,1766456624284956996
3,-48.86748123168945,-1.5462322235107422,-29.50176239013672,target,1766456624284956996
4,-0.6311229467391968,0.6910945177078247,-32.68790817260742,hunter,1766456624301584477
5,-48.86580276489258,-1.5993554592132568,-29.50176239013672,target,1766456624301584477
6,-0.6311229467391968,0.691728949546814,-32.690574645996094,hunter,1766456624316600384
7,-48.86580276489258,-1.6465743780136108,-29.50170135498047,target,1766456624316600384
8,-0.630232036113739,0.691728949546814,-32.690574645996094,hunter,1766456624328891503
9,-48.86426544189453,-1.6465743780136108,-29.50170135498047,target,1766456624328891503
10,-0.6293219327926636,0.6923545598983765,-32.69322967529297,hunter,1766456624345913880
11,-48.86268997192383,-1.6937917470932007,-29.50164031982422,target,1766456624345913880
12,-0.6293219327926636,0.6923545598983765,-32.69322967529297,hunter,1766456624354673640
13,-48.86268997192383,-1.6937917470932007,-29.50164031982422,target,1766456624354673640
14,-0.6283934116363525,0.6929711699485779,-32.695858001708984,hunter,1766456624371653892
15,-48.86105728149414,-1.7410078048706055,-29.50157928466797,target,1766456624371653892
16,-0.6283934116363525,0.6929711699485779,-32.695858001708984,hunter,1766456624379837325
17,-48.86105728149414,-1.7410078048706055,-29.50157928466797,target,1766456624379837325
18,-0.6274464130401611,0.6935780644416809,-32.69847869873047,hunter,1766456624396832666
19,-48.85939407348633,-1.7882221937179565,-29.50151824951172,target,1766456624396832666
20,-0.6274464130401611,0.6935780644416809,-32.70082092285156,hunter,1766456624406385521
21,-48.85939407348633,-1.7882221937179565,-29.50145721435547,target,1766456624406385521
22,-0.626482367515564,0.6941755414009094,-32.70082092285156,hunter,1766456624421467599
23,-48.85767364501953,-1.835435152053833,-29.50145721435547,target,1766456624421467599
24,-0.626482367515564,0.6941755414009094,-32.702701568603516,hunter,1766456624432709388
25,-48.85767364501953,-1.8826463222503662,-29.50139617919922,target,1766456624432709388
26,-0.6255022287368774,0.69476318359375,-32.702701568603516,hunter,1766456624450782323
27,-48.85591506958008,-1.8826463222503662,-29.50139617919922,target,1766456624450782323
28,-0.6245051622390747,0.6953398585319519,-32.70456314086914,hunter,1766456624469417699
29,-48.8541145324707,-1.9298557043075562,-29.50133514404297,target,1766456624469417699
30,-0.6245051622390747,0.6959052085876465,-32.70644760131836,hunter,1766456624487189844
31,-48.8541145324707,-1.977063536643982,-29.50127410888672,target,1766456624487189844
32,-0.6234915852546692,0.6959052085876465,-32.70644760131836,hunter,1766456624499752756
33,-48.85226821899414,-1.977063536643982,-29.50127410888672,target,1766456624499752756
34,-0.6224620938301086,0.6964589357376099,-32.70835494995117,hunter,1766456624515634568
35,-48.85036849975586,-2.0242693424224854,-29.50121307373047,target,1766456624515634568
36,-0.6224620938301086,0.6964589357376099,-32.70835494995117,hunter,1766456624526282487
37,-48.85036849975586,-2.0242693424224854,-29.50115203857422,target,1766456624526282487
38,-0.6214173436164856,0.6970007419586182,-32.71028137207031,hunter,1766456624544418407
39,-48.84843063354492,-2.0714735984802246,-29.50115203857422,target,1766456624544418407
40,-0.6214173436164856,0.6970007419586182,-32.71247863769531,hunter,1766456624555372397
41,-48.84843063354492,-2.0714735984802246,-29.501083374023438,target,1766456624555372397
42,-0.620223879814148,0.6975954174995422,-32.71247863769531,hunter,1766456624571169827
43,-48.84619903564453,-2.1245760917663574,-29.501083374023438,target,1766456624571169827
44,-0.620223879814148,0.6975954174995422,-32.71469497680664,hunter,1766456624580219133
45,-48.84619903564453,-2.1245760917663574,-29.501014709472656,target,1766456624580219133
46,-0.6190124750137329,0.6981741786003113,-32.71469497680664,hunter,1766456624598070589
47,-48.843910217285156,-2.177676200866699,-29.501014709472656,target,1766456624598070589
48,-0.618058443069458,0.6986131072044373,-32.7164306640625,hunter,1766456624613557083
49,-48.84208297729492,-2.2189745903015137,-29.500961303710938,target,1766456624613557083
50,-0.618058443069458,0.6986131072044373,-32.7164306640625,hunter,1766456624625788717
51,-48.84208297729492,-2.2189745903015137,-29.500961303710938,target,1766456624625788717
52,-0.6168175339698792,0.699163019657135,-32.71866226196289,hunter,1766456624644338521
53,-48.83969497680664,-2.2720701694488525,-29.500892639160156,target,1766456624644338521
54,-0.6168175339698792,0.6995806097984314,-32.71990203857422,hunter,1766456624664121832
